name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
minneapolis,2019-07-01,24.2,19.9,21.8,24.2,19.9,21.9,20.1,90.04,31.75,,83.33,,0,0,51.8,24.7,165.7,1014.1,68.9,13.4,115.1,6.2,3,,2019-07-01T05:30:17,2019-07-01T21:03:21,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-02,30.1,20.6,24.5,30.6,20.6,24.7,18.9,73.78,13.29,,25,,0,0,,11.6,69,1011,52,14.6,442.5,25.5,10,,2019-07-02T05:30:51,2019-07-02T21:03:09,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-03,29.6,18.7,24.4,32.3,18.7,25.1,19.8,76.73,1.66,,8.33,,0,0,35.5,16.8,89.7,1010.7,29.8,15.6,304.6,17.5,8,,2019-07-03T05:31:27,2019-07-03T21:02:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-04,27.9,21.6,24.5,30.2,21.6,24.9,20.7,80,2.69,,12.5,,0,0,48.1,19.4,208.6,1010.9,40.4,15.3,313.9,18.1,7,,2019-07-04T05:32:04,2019-07-04T21:02:37,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-05,27.6,19.3,23.2,29.4,19.3,23.3,19.8,82.32,2.03,,20.83,,0,0,31.7,15.8,103.7,1016.1,42.4,12.1,185.2,10.7,5,,2019-07-05T05:32:43,2019-07-05T21:02:18,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-06,27.2,20.3,23.7,27.7,20.3,23.9,16.4,64.58,0,,0,,0,0,33.5,16.6,86.8,1019.4,68.8,16,310.1,17.9,8,,2019-07-06T05:33:24,2019-07-06T21:01:56,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-07,28.4,17.9,23.8,29,17.9,24,16.4,64.41,0,,0,,0,0,,14.1,124.1,1018,35.3,15.9,388,22.3,8,,2019-07-07T05:34:06,2019-07-07T21:01:32,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-08,29.2,19.4,25.1,29.5,19.4,25.3,17.8,66.33,0,,0,,0,0,36,22.2,154,1015.2,14.8,15.4,376.8,21.7,9,,2019-07-08T05:34:51,2019-07-08T21:01:05,0.2,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-09,26.3,21.8,23.8,26.3,21.8,23.8,19.3,76.36,10.18,,16.67,,0,0,33.5,19.7,166.3,1010.1,45,13,134.1,7.7,3,,2019-07-09T05:35:36,2019-07-09T21:00:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-10,24.7,20.2,22.4,24.7,20.2,22.4,18.1,77.01,3.02,,12.5,,0,0,46.7,25.2,263.5,1009.7,41.4,15.2,180.9,10.4,5,,2019-07-10T05:36:23,2019-07-10T21:00:06,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-11,27.6,17.7,23.1,27.6,17.7,23.1,14.7,62.41,0,,0,,0,0,,19.8,241.5,1016.3,7.6,16,454.6,26.2,9,,2019-07-11T05:37:12,2019-07-11T20:59:32,0.36,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-12,29.3,19.8,24.7,31.2,19.8,25.4,18.6,69.23,0,,0,,0,0,58.9,22.9,215.8,1011.7,16.8,16,300.1,17.3,8,,2019-07-12T05:38:02,2019-07-12T20:58:57,0.41,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2019-07-13,29.2,20.2,25.3,29.6,20.2,25.5,17.4,62.78,0,,0,,0,0,33.5,14.5,116.9,1015.2,27.9,16,388.9,22.4,9,,2019-07-13T05:38:53,2019-07-13T20:58:19,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
